#term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
sot00230,Purine metabolism,5,140,1.09,0.00029,4113.PGSC0003DMT400002595 4113.PGSC0003DMT400004095 4113.PGSC0003DMT400042035 4113.PGSC0003DMT400066112 4113.PGSC0003DMT400070265,PGSC0003DMT400002595 102598888 102603859 102604947 102582462
sot00600,Sphingolipid metabolism,3,26,1.6,0.00033,4113.PGSC0003DMT400039505 4113.PGSC0003DMT400065096 4113.PGSC0003DMT400069311,102601840 102601663 102594988
sot00630,Glyoxylate and dicarboxylate metabolism,4,77,1.26,0.00034,4113.PGSC0003DMT400006578 4113.PGSC0003DMT400011868 4113.PGSC0003DMT400065000 4113.PGSC0003DMT400069799,102598451 102582524 107058768 102599296
sot00603,Glycosphingolipid biosynthesis - globo and isoglobo series,2,7,2.0,0.00099,4113.PGSC0003DMT400039505 4113.PGSC0003DMT400065096,102601840 102601663
sot00970,Aminoacyl-tRNA biosynthesis,3,41,1.41,0.00099,4113.PGSC0003DMT400024220 4113.PGSC0003DMT400026761 4113.PGSC0003DMT400059195,PGSC0003DMT400024220 102606382 102604688
sot00561,Glycerolipid metabolism,3,74,1.15,0.0045,4113.PGSC0003DMT400006578 4113.PGSC0003DMT400039505 4113.PGSC0003DMT400065096,102598451 102601840 102601663
sot00670,One carbon pool by folate,2,20,1.54,0.0053,4113.PGSC0003DMT400011868 4113.PGSC0003DMT400065000,102582524 107058768
sot00620,Pyruvate metabolism,3,83,1.1,0.0055,4113.PGSC0003DMT400066112 4113.PGSC0003DMT400069799 4113.PGSC0003DMT400070265,102604947 102599296 102582462
sot00500,Starch and sucrose metabolism,3,111,0.97,0.0115,4113.PGSC0003DMT400023090 4113.PGSC0003DMT400035987 4113.PGSC0003DMT400079915,InvGF Pain-1 PGSC0003DMT400079915
sot03430,Mismatch repair,2,34,1.31,0.0120,4113.PGSC0003DMT400010422 4113.PGSC0003DMT400078207,102598532 102581875
sot03060,Protein export,2,37,1.27,0.0134,4113.PGSC0003DMT400031635 4113.PGSC0003DMT400070672,102601905 102585784
sot00460,Cyanoamino acid metabolism,2,40,1.24,0.0141,4113.PGSC0003DMT400011868 4113.PGSC0003DMT400065000,102582524 107058768
sot04712,Circadian rhythm - plant,2,39,1.25,0.0141,4113.PGSC0003DMT400076178 4113.PGSC0003DMT400076179,CHS1B 102580017
sot00941,Flavonoid biosynthesis,2,49,1.15,0.0197,4113.PGSC0003DMT400076178 4113.PGSC0003DMT400076179,CHS1B 102580017
sot00030,Pentose phosphate pathway,2,52,1.13,0.0211,4113.PGSC0003DMT400028915 4113.PGSC0003DMT400072632,PGSC0003DMT400028915 PGSC0003DMT400072632
sot03040,Spliceosome,3,175,0.78,0.0282,4113.PGSC0003DMT400056692 4113.PGSC0003DMT400069042 4113.PGSC0003DMT400090250,102590563 102604583 102590431

