#term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
GO:0060089,molecular transducer activity,3,40,1.45,0.0024,4530.OS02T0123100-01 4530.OS03T0752100-01 4530.OS05T0392300-01,CDKA-2 PHYC CDKD-1
GO:0004739,pyruvate dehydrogenase (acetyl-transferring) activity,2,7,2.03,0.0026,4530.OS08T0536000-01 4530.OS12T0616900-01,OsJ_28086 OS12T0616900-01
GO:0004693,cyclin-dependent protein serine/threonine kinase activity,2,15,1.69,0.0077,4530.OS02T0123100-01 4530.OS05T0392300-01,CDKA-2 CDKD-1
GO:0008353,RNA polymerase II CTD heptapeptide repeat kinase activity,2,15,1.69,0.0077,4530.OS02T0123100-01 4530.OS05T0392300-01,CDKA-2 CDKD-1
GO:0140096,catalytic activity  acting on a protein,6,420,0.72,0.0077,4530.OS01T0907400-01 4530.OS02T0123100-01 4530.OS03T0752100-01 4530.OS04T0682000-01 4530.OS05T0392300-01 4530.OS09T0359800-01,JMJ705 CDKA-2 PHYC ATG4B CDKD-1 PRMT1
GO:0003677,DNA binding,7,614,0.63,0.0094,4530.OS01T0152300-00 4530.OS01T0152900-00 4530.OS01T0153100-00 4530.OS01T0153300-00 4530.OS01T0839500-00 4530.OS03T0279200-01 4530.OS05T0574300-00,H2B.10 H2B.7 H2B.6 H2B.5 H2B.11 OsJ_001872 H2B.9
GO:0140098,catalytic activity  acting on RNA,3,100,1.05,0.0160,4530.OS01T0618400-01 4530.OS02T0795900-01 4530.OS09T0556500-01,OsJ_02628 OS02T0795900-01 OsJ_30298
GO:0005524,ATP binding,6,548,0.61,0.0215,4530.OS01T0618400-01 4530.OS02T0123100-01 4530.OS02T0506500-04 4530.OS02T0795900-01 4530.OS05T0392300-01 4530.OS09T0556500-01,OsJ_02628 CDKA-2 OsJ_06853 OS02T0795900-01 CDKD-1 OsJ_30298
GO:0016491,oxidoreductase activity,5,401,0.67,0.0238,4530.OS01T0360200-01 4530.OS01T0907400-01 4530.OS08T0468100-01 4530.OS08T0536000-01 4530.OS12T0616900-01,RBOHB JMJ705 NIA1 OsJ_28086 OS12T0616900-01
GO:0008144,drug binding,6,598,0.57,0.0273,4530.OS01T0618400-01 4530.OS02T0123100-01 4530.OS02T0506500-04 4530.OS02T0795900-01 4530.OS05T0392300-01 4530.OS09T0556500-01,OsJ_02628 CDKA-2 OsJ_06853 OS02T0795900-01 CDKD-1 OsJ_30298
GO:0043167,ion binding,10,1469,0.4,0.0277,4530.OS01T0360200-01 4530.OS01T0618400-01 4530.OS01T0907400-01 4530.OS02T0123100-01 4530.OS02T0506500-04 4530.OS02T0795900-01 4530.OS05T0392300-01 4530.OS06T0187900-02 4530.OS08T0468100-01 4530.OS09T0556500-01,RBOHB OsJ_02628 JMJ705 CDKA-2 OsJ_06853 OS02T0795900-01 CDKD-1 RSZ21A NIA1 OsJ_30298
GO:0016772,transferase activity  transferring phosphorus-containing groups,4,296,0.7,0.0328,4530.OS02T0123100-01 4530.OS03T0752100-01 4530.OS05T0392300-01 4530.OS05T0586200-01,CDKA-2 PHYC CDKD-1 JAR1
GO:0003724,RNA helicase activity,2,58,1.11,0.0413,4530.OS01T0618400-01 4530.OS02T0795900-01,OsJ_02628 OS02T0795900-01
GO:0008186,RNA-dependent ATPase activity,2,58,1.11,0.0413,4530.OS01T0618400-01 4530.OS02T0795900-01,OsJ_02628 OS02T0795900-01
GO:0004672,protein kinase activity,3,187,0.78,0.0476,4530.OS02T0123100-01 4530.OS03T0752100-01 4530.OS05T0392300-01,CDKA-2 PHYC CDKD-1

